time,q1_l,q1_r,q2_l,q2_r
4.4,0.0764,-0.0702,0.0,0.1337
4.5,0.0684,-0.0761,0.0,0.1141
4.6,0.0520,-0.0652,0.0,0.0905
4.7,0.0407,-0.0514,0.0,0.0702
4.8,0.0380,-0.0454,0.0,0.0508
4.9,0.0359,-0.0276,0.0,0.0327
5.0,0.0351,-0.0066,0.0,0.0188
5.1,0.0345,0.0009,0.0,0.0011
5.2,0.0105,-0.0115,0.0,-0.0032
5.3,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0
5.5,-0.0058606046464791525,0.02192644795939383,0.05194075772913145,0.0
5.6,0.0038178302585674855,0.03967588064620105,0.05763983353072366,0.0
5.70000000000000004,-0.04037823335060942,0.030020652466909374,0.12794593917094368,0.0
5.8,-0.09099716963799774,0.04456756692915264,0.17941716510318176,0.0
5.9,-0.1524888259584832,0.08578668164964222,0.21651277064367463,0.0
6.0000000000000001,-0.1754466635626005,0.13356579586696854,0.211721834026034,0.0
6.1000000000000001,-0.17132391855797952,0.13158067800485002,0.19782742710294302,0.0
6.2,-0.1535,0.1194,0.2131,0.0
6.3,-0.1323,0.1323,0.1935,0.0
6.4,-0.1362,0.0996,0.2000,0.0
6.5,-0.1137,0.1110,0.1725,0.0
6.6,-0.1230,0.0897,0.1698,0.0
6.7,-0.1011,0.1003,0.1416,0.0
6.8,-0.0997,0.0810,0.1317,0.0
6.9,-0.0840,0.0936,0.1368,0.0
7.0,-0.0680,0.0786,0.1451,0.0
7.1,-0.0702,0.0764,0.1337,0.0
7.2,-0.0761,0.0684,0.1141,0.0
7.3,-0.0652,0.0520,0.0905,0.0
7.4,-0.0514,0.0407,0.0702,0.0
7.5,-0.0454,0.0380,0.0508,0.0
7.6,-0.0276,0.0359,0.0327,0.0
7.7,-0.0066,0.0351,0.0188,0.0
7.8,0.0009,0.0345,0.0011,0.0
7.9,-0.0115,0.0105,-0.0032,0.0
8.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0
8.2,0.02192644795939383,-0.0058606046464791525,0.0,0.05194075772913145
8.3,0.03967588064620105,0.0038178302585674855,0.0,0.05763983353072366
8.4,0.030020652466909374,-0.04037823335060942,0.0,0.12794593917094368
8.5,0.04456756692915264,-0.09099716963799774,0.0,0.17941716510318176
8.6,0.08578668164964222,-0.1524888259584832,0.0,0.21651277064367463
8.7,0.13356579586696854,-0.1754466635626005,0.0,0.211721834026034
8.8,0.13158067800485002,-0.17132391855797952,0.0,0.19782742710294302
8.9,0.1194,-0.1535,0.0,0.2131
9.0,0.1323,-0.1323,0.0,0.1935
9.1,0.0996,-0.1362,0.0,0.2000
9.2,0.1110,-0.1137,0.0,0.1725
9.3,0.0897,-0.1230,0.0,0.1698
9.4,0.1003,-0.1011,0.0,0.1416
9.5,0.0810,-0.0997,0.0,0.1317
9.6,0.0936,-0.0840,0.0,0.1368
9.7,0.0786,-0.0680,0.0,0.1451
9.8,0.0764,-0.0702,0.0,0.1337
9.9,0.0684,-0.0761,0.0,0.1141
10.0,0.0520,-0.0652,0.0,0.0905
10.1,0.0407,-0.0514,0.0,0.0702
10.2,0.0380,-0.0454,0.0,0.0508
10.3,0.0359,-0.0276,0.0,0.0327
10.4,0.0351,-0.0066,0.0,0.0188
10.5,0.0345,0.0009,0.0,0.0011
10.6,0.0105,-0.0115,0.0,-0.0032
10.7,0.0,0.0,0.0,0.0
10.8,0.0,0.0,0.0,0.0
